@relation 'training-set-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L1-weka.filters.unsupervised.attribute.Remove-R3,5'

@attribute id numeric
@attribute cleaned_tweets string
@attribute subtask_b {UNT,TIN}

@data
86426,'ask native americans take',UNT
90194,'go home drunk maga trump',TIN
62688,'someone taken piece shit volcano',UNT
97670,'liberals kookoo',TIN
77444,'oh noes tough shit',UNT
52415,'literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism',TIN
13384,'canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo',TIN
28414,'lying corrupt traitor nobody wants hear anymore lies deepstatecorruption',TIN
28195,'gun control kids asking',TIN
56117,'lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready',TIN
12681,'kind like conservatives wanna associate everyone left communist antifa members',TIN
82904,'da fuck going people men room women room pick one stick w',TIN
77665,'tbh days like people general connect people days annoyance',TIN
25440,'referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left',UNT
12609,'thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck',TIN
12108,'smart think gen flynn sentencing keeps rescheduled',TIN
14726,'expected placate violent leftists terrorists kavanaughconfirmation woke',TIN
84102,'british people basically full racists voters vote conservatives coincidence',TIN
98992,fuck,TIN
33853,'prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went missing',TIN
75215,'useless attempts right thing never follows',TIN
57013,'grateful trump dog white house cruel man',TIN
74831,'trump kicks dem butt fun',TIN
53264,'dumb dumber one president two one',TIN
84664,'clown prison',TIN
48995,'thats old man',TIN
47153,'obstructionists anti american pharisees ask running get nothing maga',TIN
64429,'mean worked gun control right',TIN
45068,'drinking much koolaid bloated',TIN
84667,'institution let tweet behaves window licker',TIN
93119,'wtc threat maga qanon wakeupamerica',TIN
21379,'please call trump narcissistic sociopath',TIN
52252,'fuck em',TIN
91001,'good move big loser',TIN
66349,'literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash',UNT
80561,'many dumb arguments gun control may dumbest common',TIN
39907,'please kill antifa hand',TIN
77294,'ugly black hearted troll',TIN
16940,'dont believe hype',UNT
28841,'saved maga',TIN
59998,'probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies st century',TIN
28812,'get damn haters deleting ig reason',TIN
64776,'sjshsj thats job bitch',TIN
69972,'part collusion get dumocrat',TIN
96789,'reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters',TIN
