@relation 'training-set-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-L1-weka.filters.unsupervised.attribute.Remove-R3,4'

@attribute id numeric
@attribute cleaned_tweets string
@attribute subtask_c {IND,GRP,OTH}

@data
90194,'go home drunk maga trump',IND
97670,'liberals kookoo',OTH
52415,'literally talking lol mass shootings like set ups propaganda used divide us major issues like gun control terrorism',GRP
13384,'canada need another cuck already enough looneyleft liberals f king great country qproofs trudeaumustgo',IND
28414,'lying corrupt traitor nobody wants hear anymore lies deepstatecorruption',IND
28195,'gun control kids asking',OTH
56117,'lol throwing bullshit flag nonsense putuporshutup kavanaugh maga callthevotealready',IND
12681,'kind like conservatives wanna associate everyone left communist antifa members',GRP
82904,'da fuck going people men room women room pick one stick w',GRP
77665,'tbh days like people general connect people days annoyance',IND
12609,'thing democrats lying stalling stop trump president done lately trump kavanaugh maga demsuck',GRP
12108,'smart think gen flynn sentencing keeps rescheduled',IND
14726,'expected placate violent leftists terrorists kavanaughconfirmation woke',GRP
84102,'british people basically full racists voters vote conservatives coincidence',GRP
98992,fuck,IND
33853,'prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went missing',OTH
75215,'useless attempts right thing never follows',IND
57013,'grateful trump dog white house cruel man',IND
74831,'trump kicks dem butt fun',IND
53264,'dumb dumber one president two one',IND
84664,'clown prison',IND
48995,'thats old man',IND
47153,'obstructionists anti american pharisees ask running get nothing maga',OTH
64429,'mean worked gun control right',GRP
45068,'drinking much koolaid bloated',IND
84667,'institution let tweet behaves window licker',IND
93119,'wtc threat maga qanon wakeupamerica',IND
21379,'please call trump narcissistic sociopath',IND
52252,'fuck em',GRP
91001,'good move big loser',IND
80561,'many dumb arguments gun control may dumbest common',IND
39907,'please kill antifa hand',IND
77294,'ugly black hearted troll',IND
28841,'saved maga',IND
59998,'probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies st century',IND
28812,'get damn haters deleting ig reason',GRP
64776,'sjshsj thats job bitch',IND
69972,'part collusion get dumocrat',IND
96789,'reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters',GRP
68629,'let leftist democrats riot streets antifa counterparts',IND
77319,'antifa giving death threats professor ford threatening violence candidate loses spanky impeached',IND
49504,'law changed make allegation days guilty proven innocent liberals mentally ill',GRP
31229,'game sucks donkey balls',GRP
88546,'absolutely nail coffin hilliary',IND
32897,dumbass,IND
62072,'levistrauss wanting gun control many us wonder heck want freedoms taken away selective freedoms',GRP
95444,'point time think pres trump gives sh neither lol',IND
62481,'donnie jr family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail',IND
39021,'oh carmen fricking cute',IND
68840,'chelsea crazy mother',IND
32916,'brainless dems wants us believe majority liberals like leaders corrupts obama crookedhillary real bad losers maga trump',GRP
18547,'california gun control direct result white people scared black panthers using right bear arms nra problem gun control',GRP
82607,'yet millions permit holding people carried legally concealed firearms day hurt anyone else yet want stronger gun control idiots wonderful media hype incidents fits agenda',GRP
82339,'yes hurt selves gun control freaks',GRP
34510,'bullshit regulations good keeps conservatives striping land abyss',GRP
53501,'owner culo',IND
69928,'scarred life lol maga',IND
31853,fucking,IND
13872,'confirm man left wing activist liar story changes hard evidence christineblaseyford innocent proven guilty confirmkavanaugh maga weakrinos republicans',GRP
28985,'assuming going get answer brainless liberal stooge ocasio cortez policy plan wakeupamerica america future vote republican surrender america dem morons maga',OTH
74004,'leftists showing yet vile',GRP
70838,'drunk crazy man',IND
15991,'money made u smarter',IND
16885,'way move haiti liberals seem make shit holes large cities go somewhere already shit hole work',GRP
19514,'pussy grabbing one wearing gloves handling food maga',IND
34317,'antifa beat facsists try get change mind know lost cause try change fascist mind scare hiding demoralize stop spread hateful ideology forcing views others',IND
36289,'firemorningjoe cut cloth conservatives misogyny bigotry always display responsible trump',GRP
86477,'work want control population australian gun control effect homicides',OTH
44015,'liberals ruin everything',GRP
11411,'happens let liberal get hold gun would good place start gun control ban liberals getting guns',GRP
10133,'look happy maga',IND
29497,'yet fat',IND
97300,'joke gem alright racist phony right along racist phony thinks follow second account block speak truth could care less follower like big party care discriminate',IND
14808,'may forgotten moment eu citizens rights afforded us eu citizens believe shit goes head',GRP
87300,'cause bitches playing god aint give gift nothing',GRP
80497,'coming man threatened try kick turmps ass take set ball',IND
97277,'getting scared ugly man',IND
77769,'amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests',IND
33096,'hahaha big thighs going make',IND
81470,'maga christineford trump tcot ccot americafirst patriots brettkavanaugh say bill clinton whitewater imperative make pattern revolting behavior clear piece painful piece indeed',IND
20322,'maga people low iq gdp growth means literally nothing way translate higher income white familes individuals billions goes companies government jobs create labour pays less living wage lmao',IND
60130,'bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious',IND
54559,'bitch built like could beat ass wants',IND
14285,'pathetic man',IND
42133,'must talking hateful conservatives',GRP
18834,'thats correct maga',IND
38043,'leftist wrong liberal colleges ppl students come unmask corrupt woman determined destroy good judge wants liberals courts',IND
76709,'great mark great one levin candace great owens together team unbeatable sent liberals frenzy whole block liberal voters heads explode sadly alyssa milano wet pants great team',GRP
22728,'stratadata ai data hairball tdavis touring application cognitive machinelearning techniques speed governance data',GRP
11640,'proposing scare tactics really meant said trump easily pull good maga republicans easily steal enough votes gop dem independents bring fresh breath rotten politics think',IND
47009,'liberal would support liberal spent million get liberals elected office libfail',GRP
97936,'weirdly vicious bitter extrapolate everyone access decent healthcare liberals think criminals free reveals pretty brutalist impenetrable mind',GRP
72024,'liberals trashy',GRP
98547,'yes saw say tapper kept basket kept coming back stupid answers finally gave think big fan policies stupid please',IND
98382,'go anything fucked head',IND
71577,'need know empty inside',IND
17391,'liberals mentally unstable',GRP
34443,'authorized search warrant mr jean home racist drug test premediated murder slandered victim',IND
22185,'heard making waves',IND
77089,'thursdaythoughts fuck liberals forever',GRP
